92.655273,283.804504,168.026779,0.000000,420.129730,453.486481,189.560013,423.207977,172.904602,236.780487,0.000000,262.488098,439.645325,314.358063,350.838989,366.165253,0.000000,168.217117,458.763550,257.000000,256.499512,0.000000,388.011597,174.315811,217.800369,366.742432,0.000000,0.000000,0.000000,0.000000,394.684692,229.259674,186.034943,175.385284,331.942780,157.028656,A
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.146935,197.017761,201.486969,239.340759,424.750519,365.049316,420.672089,251.177231,203.887222,83.408630,372.592285,232.572571,251.127457,183.461166,351.163788,137.876755,234.232788,370.094574,178.600113,171.825500,156.732254,236.177902,330.461792,202.605530,196.725693,141.904892,298.117432,167.092789,A
136.616257,280.665283,130.679001,245.668472,366.284058,301.230804,196.562973,415.470825,172.467392,156.518372,203.708130,279.164825,355.877777,358.468964,392.699646,330.505676,271.626587,171.898224,452.522919,415.932678,280.257019,154.987091,309.743439,207.038651,264.877319,330.048492,169.858765,209.274933,166.979034,182.923477,356.799652,215.520294,187.779129,175.581894,350.178528,174.596680,A
94.111633,281.090729,198.668060,216.813278,369.012207,449.321716,200.823303,427.654053,81.400246,189.623306,164.878738,241.896667,425.183502,390.957794,357.542999,236.907150,201.069641,81.835197,392.825653,373.225128,218.002289,174.040222,359.489929,154.651215,256.688538,357.393341,208.086517,175.823776,169.366470,214.979065,290.243011,212.433517,187.608643,102.825096,272.389435,169.567093,A
156.400131,298.839417,190.601685,0.000000,378.399261,328.283417,162.225159,426.645050,161.136581,236.038132,0.000000,301.400055,330.732513,340.119110,376.670929,372.002686,0.000000,170.179321,349.211975,293.068237,280.492432,0.000000,386.534607,156.869370,228.527893,374.550385,0.000000,0.000000,0.000000,0.000000,358.602844,250.714981,177.710434,151.558563,303.117126,183.068298,A
119.820702,212.680511,118.004234,158.902481,296.966339,315.930359,166.300934,332.025604,53.338543,162.542297,189.446564,172.200470,348.919769,361.566040,366.270386,248.652374,158.927658,53.000000,375.618164,342.230927,198.000000,159.304733,315.702393,215.796204,274.710754,345.973999,164.246765,225.966812,194.794769,185.625961,369.898621,232.131424,175.855057,165.096939,334.432343,169.664368,A
160.049988,240.950195,157.876541,175.641678,358.622375,326.197784,170.135239,398.120575,180.601776,159.012573,184.480347,307.509338,342.235291,355.012665,398.120575,314.841217,290.208557,160.078110,455.095581,290.663025,291.563019,141.155945,354.189209,196.412827,225.887146,315.900299,310.228943,221.503952,182.164764,241.350372,440.728943,229.078583,156.706726,166.589310,331.452850,181.818588,A
87.281158,276.090576,185.129684,194.123672,408.755432,430.004639,189.652313,440.454315,107.540688,170.792267,152.082214,231.717499,421.715546,380.157867,369.835114,254.017715,215.696548,133.255386,387.330597,366.346832,226.861191,147.871567,313.555420,177.609116,232.699371,337.604797,189.525726,201.400101,174.324417,210.950226,334.378540,208.403458,177.654160,155.331909,281.233002,155.080627,A
61.131008,254.094467,187.096237,198.539673,358.217804,436.426392,167.263260,408.417664,107.004669,191.062820,167.967255,276.602600,432.677704,336.001495,365.874298,254.332458,193.762741,106.526993,392.448730,238.354782,234.853149,142.214630,335.626282,153.003265,208.798950,305.692657,275.862274,184.252548,161.623016,214.869720,389.606201,194.743423,164.368484,166.595322,326.007660,162.012344,A
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.996124,187.114944,180.011108,256.164001,448.753845,392.326385,404.827118,260.929108,199.331375,128.631256,401.885559,373.871643,258.518860,105.550934,298.216370,199.180817,268.126831,331.209900,200.863144,222.200363,169.920563,233.025757,365.800507,217.248703,198.275055,181.218094,328.673096,147.763321,A
29.732138,216.910126,0.000000,84.480766,288.015625,278.469025,186.978607,284.313202,135.148071,150.083313,176.238480,281.440948,322.256104,334.228973,398.421875,272.662781,190.073669,135.103668,426.298004,284.971924,290.203369,148.475586,356.506653,175.071411,186.978607,299.766571,275.312561,205.060974,160.049988,223.573257,403.862610,225.037781,178.305923,169.567093,351.637604,199.022614,A
121.297157,291.274780,121.297157,177.341476,339.948517,303.349640,170.469940,326.810333,162.077148,160.312195,196.512085,264.196899,343.069977,364.660126,372.429871,320.356049,269.319519,186.231033,444.173401,267.007477,267.007477,116.709038,339.342010,198.600098,260.432343,325.530334,205.543182,177.519012,146.731049,175.353928,366.656525,217.175049,191.637680,162.929428,321.735931,156.012817,A
